"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Depth","roughness","tpi","detrended","cumsum.wi"
"kelps.Depth+roughness+tpi","Depth+roughness+tpi",81.6878240183001,109.843550204348,0.062,NA,10.74,0,0,0,0.96,0.684,1,1,1,0,0.96
"kelps.Depth+detrended+tpi","Depth+detrended+tpi",88.2313738561281,116.417281795491,0.04078,NA,10.76,0,6.544,6.574,0.036,0.026,1,0,1,1,0.996
"kelps.Depth+tpi","Depth+tpi",93.119164863193,111.603074534484,0.06166,NA,6.86,0,11.431,1.76,0.003,0.284,1,0,1,0,0.999
"kelps.Depth+detrended+roughness","Depth+detrended+roughness",100.06887663562,128.0983938265,0.05609,NA,10.69,0,18.381,18.255,0,0,1,1,0,1,0.999
"kelps.Depth+roughness","Depth+roughness",100.485869108652,118.96626922719,0.06194,NA,6.86,0,18.798,9.123,0,0.007,1,1,0,0,0.999
"kelps.Depth","Depth",120.182577007168,128.380320591335,0.0611,NA,2.97,0,38.495,18.537,0,0,1,0,0,0,0.999
"kelps.Depth+detrended","Depth+detrended",120.379186146724,131.266993239303,0.06147,NA,3.97,0,38.691,21.423,0,0,1,0,0,1,0.999
"kelps.detrended+roughness+tpi","detrended+roughness+tpi",207.126292687006,236.686363704118,0.0082,NA,11.33,0,125.438,126.843,0,0,0,1,1,1,0.999
"kelps.detrended+roughness","detrended+roughness",233.169997875728,254.073357822861,0.0075,NA,7.81,0,151.482,144.23,0,0,0,1,0,1,0.999
"kelps.detrended+tpi","detrended+tpi",235.354349048527,258.805318702155,0.00842,NA,8.82,0,153.667,148.962,0,0,0,0,1,1,0.999
"kelps.detrended","detrended",257.44979729599,270.837468127497,0.00656,NA,4.91,0,175.762,160.994,0,0,0,0,0,1,0.999
"kelps.roughness+tpi","roughness+tpi",260.14796709845,280.65277603688,0.06908,NA,7.65,0,178.46,170.809,0,0,0,1,1,0,0.999
"kelps.roughness","roughness",275.099889438508,286.829240025453,0.03809,NA,4.28,0,193.412,176.986,0,0,0,1,0,0,0.999
"macroalgae.Depth+detrended+roughness","Depth+detrended+roughness",681.126271403732,709.240997149638,0.09149,NA,10.73,0,0,0,1,1,1,1,0,1,1
